iter,N,h,result,error
1,1,1.0,1.8591409142295225,
2,2,0.5,1.7539310924648253,0.03506994058823243
3,4,0.25,1.7272219045575166,0.008903062635769565
4,8,0.125,1.7205185921643018,0.0022344374644049183
5,16,0.0625,1.7188411285799945,0.0005591545281024383
6,32,0.03125,1.7184216603163267,0.0001398227545559294
7,64,0.015625,1.7183167868500937,3.4957822077667324e-05
8,128,0.0078125,1.718290568083478,8.739588871931048e-06
9,256,0.00390625,1.71828401336682,2.1849055526305485e-06
10,512,0.001953125,1.7182823746860931,5.46226908963258e-07
